code,dispensing_patients
D82088,0
D82096,0
D82099,1885
D82100,3659
D82104,6300
D82105,2814
D82106,0
D82600,1480
D82604,2977
D82613,0
D82618,0
D82621,4269
D82624,1488
D82628,2684
D82632,0
D82641,0
D82643,0
D83001,0
D83002,0
D83003,4495
D83004,0
D83005,2946
D83006,5863
D83007,6075
D83008,0
D83009,0
D83010,1837
D83011,0
D83012,3131
D83013,4081
D83014,1159
D83015,0
D83016,0
D83017,5009
D83018,3988
D83019,7143
D83020,7857
D83021,0
D83022,1308
D83023,0
D83024,0
D83026,5516
D83027,3375
D83028,1869
D83029,3886
D83030,0
D83033,4763
D83034,3808
D83035,4459
D83036,0
D83037,6641
D83038,0
D83039,0
D83040,2532
D83041,6506
D83043,3554
D83044,4429
D83045,1595
D83046,0
D83047,0
D83048,0
D83049,1601
D83050,0
D83051,0
D83053,4486
D83054,3656
D83055,6265
D83056,0
D83057,2723
D83058,0
D83059,0
D83060,5419
D83061,3806
D83062,0
D83064,1755
D83067,3010
D83069,5153
D83070,4820
D83073,0
D83074,0
D83075,0
D83076,0
D83078,2429
D83079,1959
D83080,446
D83081,0
D83082,0
D83084,0
D83608,0
D83610,2605
D83615,480
D83619,0
E81001,0
E81002,0
E81003,1978
E81004,0
E81005,0
E81006,0
E81007,5925
E81008,0
E81009,0
E81010,0
E81011,0
E81012,2748
E81013,0
E81014,0
E81015,3439
E81016,0
E81017,0
E81018,0
E81019,0
E81021,0
E81022,1430
E81023,0
E81024,3473
E81025,0
E81026,0
E81027,0
E81028,0
E81029,0
E81030,0
E81031,4388
E81032,0
E81033,0
E81034,0
E81035,1056
E81036,866
E81037,1698
E81038,591
E81040,1259
E81041,0
E81043,0
E81044,2484
E81045,0
E81046,3814
E81047,0
E81048,0
E81049,916
E81050,4223
E81052,0
E81054,0
E81056,0
E81057,885
E81059,930
E81060,138
E81061,2193
E81062,0
E81063,0
E81064,0
E81065,0
E81069,0
E81073,0
E81074,3746
E81075,0
E81076,0
E81077,0
E81611,0
E81612,0
E81615,0
E81617,0
E81626,0
E81631,0
E81632,0
E81633,0
E81635,0
E81636,0
E81637,0
E81639,0
E82001,5726
E82002,0
E82004,0
E82005,0
E82006,0
E82007,0
E82008,0
E82009,0
E82011,3218
E82012,0
E82013,0
E82014,0
E82015,0
E82017,0
E82018,0
E82019,14
E82020,0
E82021,5783
E82022,0
E82023,0
E82024,0
E82025,0
E82027,0
E82028,0
E82031,0
E82032,0
E82034,0
E82035,0
E82037,0
E82038,0
E82039,0
E82040,0
E82041,0
E82042,0
E82043,0
E82044,0
E82045,0
E82046,0
E82048,0
E82049,0
E82050,0
E82051,0
E82053,740
E82054,0
E82055,0
E82056,0
E82057,0
E82058,0
E82059,0
E82060,0
E82061,0
E82062,0
E82063,0
E82064,0
E82066,0
E82067,0
E82068,0
E82069,0
E82070,0
E82071,0
E82072,1464
E82073,0
E82074,0
E82075,0
E82076,0
E82077,0
E82078,0
E82079,0
E82080,0
E82081,0
E82082,0
E82083,0
E82084,0
E82085,0
E82086,1101
E82088,0
E82089,0
E82090,0
E82091,0
E82092,0
E82093,0
E82094,0
E82095,0
E82096,0
E82098,0
E82099,0
E82100,0
E82102,0
E82104,0
E82105,0
E82106,617
E82107,0
E82109,0
E82111,0
E82113,0
E82115,0
E82117,0
E82121,4618
E82123,0
E82124,0
E82126,0
E82129,0
E82130,0
E82131,0
E82132,759
E82133,0
E82603,0
E82613,0
E82620,604
E82626,2386
E82627,0
E82630,0
E82638,0
E82640,0
E82641,14
E82643,0
E82644,0
E82652,0
E82654,0
E82655,0
E82656,0
E82657,0
E82661,0
E82663,1421
E82667,0
E83003,0
E83005,0
E83006,0
E83007,0
E83008,0
E83009,0
E83010,0
E83011,0
E83012,0
E83013,0
E83016,0
E83017,0
E83018,0
E83020,0
E83021,0
E83024,0
E83025,0
E83026,0
E83027,0
E83028,0
E83030,0
E83031,0
E83032,0
E83034,0
E83035,0
E83036,0
E83037,0
E83038,0
E83039,0
E83041,0
E83042,0
E83044,0
E83045,0
E83046,0
E83049,0
E83050,0
E83053,0
E83600,0
E83613,0
E83621,0
E83622,0
E83624,0
E83629,0
E83631,0
E83632,0
E83633,0
E83637,0
E83638,0
E83639,0
E83644,0
E83649,0
E83650,0
E83653,0
E83654,0
E83655,0
E83656,0
E83657,0
E83658,0
E83666,0
E83668,0
E84002,0
E84003,0
E84004,0
E84005,0
E84006,0
E84007,0
E84008,0
E84009,0
E84011,0
E84012,0
E84013,0
E84014,0
E84015,0
E84017,0
E84018,0
E84020,0
E84021,0
E84022,0
E84023,0
E84024,0
E84025,0
E84026,0
E84028,0
E84029,0
E84030,0
E84031,0
E84032,0
E84033,0
E84036,0
E84039,0
E84040,0
E84042,0
E84044,0
E84048,0
E84049,0
E84051,0
E84053,0
E84057,0
E84058,0
E84059,0
E84061,0
E84062,0
E84063,0
E84066,0
E84067,0
E84068,0
E84069,0
E84070,0
E84074,0
E84075,0
E84076,0
E84077,0
E84078,0
E84080,0
E84083,0
E84084,0
E84086,0
E84601,0
E84617,0
E84620,0
E84624,0
E84626,0
E84635,0
E84637,0
E84638,0
E84645,0
E84646,0
